,title,category,contents
27,복수귀/창작물,클리셰창작물복수물,"""작품명 - 복수귀 속성의 인물 → 복수의 대상"" 순서로 작성. 서로가 복수의 대상이면 ↔.복수의 대상을 착각하는 경우 †로 표기.복수의 대상이 변경된 경우 ⇒로 표기.복수를 위해 인간을 관둔 존재들은 ≠ 표시.복수를 하다 다크 히어로나 영웅이 된 존재는 ✩ 표시.복수를 하다 안티히어로나 결과는 좋았다가 된 사례는 ★ 표시.복수를 그만 둔 경우 또는 실패한 경우 Ⅹ 표시.복수를 마쳤으며 잘 사는 경우는 ♬ 표시.전혀 엉뚱한 사람이나 단체를 복수의 대상으로 찍고 죄 없는 쪽에다가 화풀이하는 경우는 ㉥ 표시.작품의 장르 자체가 복수물일 경우는 작품명을, 주인공이 복수귀일 경우에는 복수귀 속성의 인물을 볼드체로 강조."
28,프리 데라호야,베이블레이드 버스트 갓/등장인물베이블레이드 버스트 초제트/등장인물베이블레이드 버스트 슈퍼킹/등장인물베이블레이드 버스트 다이너마이트 배틀/등장인물,베이블레이드 버스트 갓부터 출연한 주역 등장인물. 
29,No.93 유토피아 카이저,유희왕/OCG/전사족유희왕/OCG/엑시즈 소환No.,유희왕의 엑시즈 몬스터 카드.
30,DDT,살충제독,"다이클로로다이페닐트라이클로로에테인(Dichlorodiphenyltrichloroethane, DDT)화학식은 C14H9Cl5. 가장 유명한 살충제 중 하나이다. 무색, 무미, 무취의 결정형 유기염소계 화합물로 물에 잘 안 녹고 유기용매에 잘 녹는 소수성을 띤다.DDT는 자연상에서는 존재하지 않는 인공 합성물질로 클로로벤젠(C6H5Cl)과 클로랄(C2HCl3O)을 황산 촉매 반응을 통해 합성한다. 이 과정에서 발생하는 대사물질(Metabolite)로는 DDD(Dichlorodiphenyldichloroethane), DDE(Dichlorodiphenyldichloroethylene) 등이 있다."
31,노퍽 머리 없는 시신 사건,영국의 미제 살인사건1974년 범죄신원 불명의 범죄 피해자,"Norfolk headless body1974년 8월 27일, 영국 노퍽에서 머리없는 시신이 발견되었다. 처음에는 그 시신의 신원을 찾기 위해 노력했지만, 결국 피해자 신원을 파악하지 못하며 미제사건이 되었다."
32,지금 우리 학교는,웹툰/목록2009년 웹툰네이버 웹툰/완결좀비 만화호러 웹툰스릴러 웹툰학원액션 웹툰주동근고어,한국의 호러 웹툰. 작가는 주동근. 줄여서 ‘지우학'이라고도 불린다.
33,정보위원회,대한민국 국회 상임위원회 및 특별위원회,대한민국 국회의 상임위원회.제21대 국회 후반기 위원장은 현재 국민의힘 박덕흠 의원이다.
34,복수귀/창작물,클리셰창작물복수물,"""작품명 - 복수귀 속성의 인물 → 복수의 대상"" 순서로 작성. 서로가 복수의 대상이면 ↔.복수의 대상을 착각하는 경우 †로 표기.복수의 대상이 변경된 경우 ⇒로 표기.복수를 위해 인간을 관둔 존재들은 ≠ 표시.복수를 하다 다크 히어로나 영웅이 된 존재는 ✩ 표시.복수를 하다 안티히어로나 결과는 좋았다가 된 사례는 ★ 표시.복수를 그만 둔 경우 또는 실패한 경우 Ⅹ 표시.복수를 마쳤으며 잘 사는 경우는 ♬ 표시.전혀 엉뚱한 사람이나 단체를 복수의 대상으로 찍고 죄 없는 쪽에다가 화풀이하는 경우는 ㉥ 표시.작품의 장르 자체가 복수물일 경우는 작품명을, 주인공이 복수귀일 경우에는 복수귀 속성의 인물을 볼드체로 강조."
35,HAUS,tripleS,"tripleS의 숙소를 부르는 이름으로, 독일어로 집이라는 뜻이다.[1] 공지사항이 있거나 새로운 S가 입주할 때, AI 비서같은 목소리의 'SUAH'[2]가 등장한다.[3]다른 아이돌들의 숙소와 달리 'HAUS'는 tripleS 콘텐츠의 일부로, 공간 및 인원의 재배치가 잦은 편이고[4] 이를 통해 S들 간의 새로운 케미나 유닛 구성에 지대한 영향을 미치고 있다."
36,제12보병사단 훈련병 사망 사건,2024년/사건사고인제군의 사건사고대한민국 육군/사건 사고제12보병사단,2024년 5월 23일 강원특별자치도 인제군에 위치한 대한민국 육군 제12보병사단 신병교육대에서 21세 훈련병 1명이 군기훈련을 받다가 쓰러져 이틀 뒤인 5월 25일 순직한 사고이다. 현재 사인과 사건 경위를 조사 중이다.
37,백종원의 골목식당/뚝섬 골목,에피소드 가이드백종원의 골목식당성동구,"골목식당의 5번째 솔루션은 서울시 성동구 성수동1가 '뚝섬 골목'에서 펼쳐진다. 골목식당 인스타그램을 통해 테이와 배윤경이 지원군으로 참가함을 밝혔다. 이번 편이 펼쳐질 뚝섬 골목은 서울 지하철 2호선 뚝섬역과 서울숲이 있어 서울의 유일한 '숲세권'이라고 불리는 곳이자 창업 플레이스이며, 성동구에서 젠트리피케이션 방지를 위해 프렌차이즈 업체의 입점을 제한하는 골목상권 보호 특구이기도 하다. 또한 이번 편은 직접 제보를 통해 백 대표의 도움을 자발적으로 요청한 최초의 사례이다. 특히 이번 편 솔루션에 참가한 가게 모두 장사 경력이 1년이나 갓 되었거나 넘지 않는 식당들이라 21회에서 다른 편과는 달리 더 엄격하게 할 예정이라고 백 대표가 밝혔다. 그래서 이번 편은 바로 현장점검부터 시작했다.지금까지 호된 비판을 받던 가게들도 식재료 관리와 위생면에서 문제가 있는 곳은 없었지만, 이번에는 식품 위생에서부터 문제가 생겼다. 4곳 모두 재료관리부터 엉망이다. 한 가지 알아야 할 것은 실제로도 이런 무지막지해보이는 음식점 사장들이 지천이라는 것이다. 한 골목에 비슷한 유형의 문제점을 가진 식당이 네곳이나 있다는 것은 결코 우연이 아니다.[1][2]  방송후에도 일부 참가자들이 조작을 주장하는 등 골목식당 출연 골목 중 가장 안좋게 결말이 난 골목이다.이번 에피소드가 나오는 시기가 한창 2018 FIFA 월드컵 러시아가  진행 중이었기에 몇 차례 결방하기도 했다."
38,이윤영(배우),한국 남배우한국의 뮤지컬 배우뮤지컬 남배우대한민국의 무용가발레리노상명대학교 출신1997년 출생2023년 데뷔,대한민국의 뮤지컬 배우 겸 발레 무용가.
39,오버로드(소설)/클래스,오버로드(소설),오버로드(소설)의 클레스이며 직업으로도 부른다.
40,앤드류 모나스테리오,베네수엘라의 야구 선수1997년 출생2023년 데뷔카라카스 출신 인물내야수우투우타밀워키 브루어스/현역,밀워키 브루어스 소속 내야수.
41,바이오하자드 RE:4/무기 및 장비,바이오하자드 시리즈/무기,DLC를 포함한 모든 무기 소개 영상바이오하자드 RE:4에 등장하는 무기를 정리한 문서. 
42,흑기사(에버소울),에버소울/등장인물,"이제 곧... 진정한 주인께서 오신다...《에버소울》의 등장 주요 악역. 정령 릴리트와 함께 메인 스토리 1부에서 사실상의 중간 보스.PV & 공식 일러스트 & 스페셜 프로그램 등에서 처음부터 공개되었으며, 주인공 구원자와 대결을 벌인 정체불명의 흑기사. "
43,시그마(록맨 X 시리즈),이레귤러 헌터레드 얼럿,록맨 X 시리즈의 등장인물 및 메인 빌런임과 동시에 시리즈 전통의 최종 보스. 그리고 죽여도 또 돌아오는 불사신이자 사망전대. 언제나 다시 나올 때마다 각양각색의 형태로 등장한다.(BGM 모음집)
44,TISSOT,스와치 그룹스위스의 시계 제조사1853년 기업,"티쏘(TISSOT)는 스위스의 시계 브랜드로, 스와치 그룹에 소속되어 있다.MIDO, HAMILTON, Certina와 함께 스와치 그룹 내 Middle Range에 속해 있으며[1] 대표적인 시계 분야의 매스티지 브랜드로, 가격 대비 뛰어난 성능과 마감으로 한국에서도 인지도가 높아 인기가 좋은 스위스 시계 입문 브랜드로 꼽힌다. 또한 태그호이어 못지않게 NBA를 비롯한 수많은 스포츠 이벤트에서 공식 타임키퍼로 활약[2], 대중에게 친숙한 브랜드이기도 하다."
45,퀄컴 스냅드래곤/8 시리즈,퀄컴 스냅드래곤,2013년부터 운영한 퀄컴의 모바일 AP 브랜드인 퀄컴 스냅드래곤의 플래그십 라인업이다.
46,배서우(성우),한국 여성 성우2024년 데뷔,대한민국의 성우.
47,올리버 던,미국의 야구 선수1997년 출생2024년 데뷔솔트레이크 시티 출신 인물유타 대학교 출신내야수우투좌타밀워키 브루어스/현역,밀워키 브루어스 소속 내야수.
48,Grand Theft Auto: Vice City Stories/무기 및 장비,Grand Theft Auto: Vice City StoriesGrand Theft Auto 시리즈/무기 및 장비,GTA: 바이스 시티 스토리즈에 등장하는 무기 및 장비를 정리한 문서.
49,카와노,성씨/일본,"かわの. 일본의 성씨. 한자로는 河野[1], 川野 등이 쓰인다."
50,요나단 페라자,베네수엘라의 야구 선수외국인 선수(야구)1998년 출생2024년 데뷔메리다 주 출신 인물외야수우투양타스위치 히터한화 이글스/현역,한화 이글스 소속 외야수.
51,정치철학,철학의 하위 학문정치학,"政治哲學 / Political Philosophy정부, 시민, 국가, 법 등에 대한 물음을 다루는 정치학의 분과 학문. 그 겉모습을 다루기보다는 일반적이고 근원적인 물음에 대한 답을 추구하는데, 정치철학에서 탐구하는 대표적인 물음들은 다음과 같다.권력의 본질은 무엇인가?시민은 왜 국가에 복종해야 하는가? ↔ 정부는 시민 위에 군림할 수 있는 것인가?과연 국가란 필요한 것인가? ↔ 국가가 없어도 시민이 존재할 수 있는가?자유란 무엇인가? ↔ 시민이 누릴 수 있는 자유의 한계는 어디까지인가?평등이란 무엇인가? ↔ 과연 평등은 바람직한 것인가?"
52,성 정체성,성,"성별 정체성이란 각 개인이 깊이 느끼고 있는 내적이고 개인적인 젠더의 경험으로, 이 경험은 태어나면서부터 결정된 성과 일치할 수도 그렇지 않을 수도 있으며, 신체에 대한 개인적인 의식(내과적, 외과적 혹은 기타의 방법으로 신체의 외형이나 기능을 변형하는 것도, 자유로이 선택된 것이라면 포함할 수 있다)이나, 의상, 말투, 버릇 등 기타의 젠더 표현을 포함한다.- 욕야카르타 원칙性 正體性 / Gender identity성 정체성은 자신이 어떤 성인지 인식하는 감각이다. 유전자, 태내 호르몬 농도, 생후 환경의 영향을 받는다. 성을 결정하는 세 가지 요인(성 주체성, 성 정체성, 성 지향성) 중 하나다. 네이버캐스트사회에 따라 취향에 따라 바꿀 수 없는 성적 지향성처럼 성 정체성은 바뀌라 해도 쉽게 바뀌지 않는다. 그렇기에 많은 걸 잃을 수 있는 성전환수술을 선택하는 사람이 있는 것이다.아주 옛날부터 지정성별이 남자로 태어났으면 성 정체성도 남자, 여자로 태어났으면 성 정체성도 여자라는 풍조가 동서양 할 것 없이[1] 강했기 때문에 남자는 남성성을 반드시 얻게 될 것이고 여자는 여성성을 반드시 얻게 될 것이라는 사회적 의식이 있었으나, 20세기 후반부터 자신의 성 정체성을 자연스럽게 드러낼 수 있게 되면서 옛날부터 있었던 일관된 성 정체성에 어느 정도 변화가 있게 되었다. "
53,빅게임스튜디오,한국의 게임 제작사2020년 설립,홈페이지2020년에 설립된 한국의 게임 제작사로 일곱 개의 대죄: GRAND CROSS를 개발했던 최재영 대표와 핵심 개발 멤버들이 창립한 회사이다. 서울특별시 강남구 역삼동에 위치하고 있다.고퀄리티의 재패니메이션 스타일의 3D 애니메이션 기술력과 스토리텔링을 내세우고 있으며 설립 초기부터 그 기술력을 인정받아 펄어비스에게 30억 투자 유치를 받기도 했다. 다만 블랙 클로버 모바일의 매출은 부진한 상황.블랙 클로버 모바일의 실패를 만회하고자 자체 개발 IP인 브레이커스: 언락 더 월드 개발에 박차를 가하고 있다. 블랙 클로버 모바일의 실패를 반면교사로 삼기 위해 위해 일본에 지사를 세우는 등 개발자와 유저의 소통 강화에 매진하는 모습을 보이고 있다.2024년 KADOKAWA에게 브레이커스: 언락 더 월드 200억 원 투자 유치에 성공했다.
54,Battle for Dream Island/기타 미참가자,BFDI/캐릭터,미국 애니메이션 Battle for Dream Island의 등장 캐릭터들
